NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UKE,2014,primary-utilities,exports,34
UKE,2014,manufacturing,exports,772
UKE,2014,transport,exports,724
UKE,2014,travel,exports,724
UKE,2014,construction,exports,93
UKE,2014,wholesale-motor,exports,128
UKE,2014,retail,exports,44
UKE,2014,information-communication,exports,469
UKE,2014,real-estate,exports,578
UKE,2014,insurance-pension,exports,520
UKE,2014,financial,exports,2360
UKE,2014,administrative-support,exports,124
UKE,2014,other,exports,47
UKE,2014,all,exports,6616
UKF,2014,primary-utilities,exports,54
UKF,2014,manufacturing,exports,877
UKF,2014,transport,exports,781
UKF,2014,travel,exports,587
UKF,2014,construction,exports,58
UKF,2014,wholesale-motor,exports,230
UKF,2014,retail,exports,39
UKF,2014,information-communication,exports,683
UKF,2014,real-estate,exports,430
UKF,2014,insurance-pension,exports,245
UKF,2014,financial,exports,1288
UKF,2014,administrative-support,exports,135
UKF,2014,other,exports,51
UKF,2014,all,exports,5458
UKG,2014,primary-utilities,exports,17
UKG,2014,manufacturing,exports,627
UKG,2014,transport,exports,718
UKG,2014,travel,exports,1001
UKG,2014,construction,exports,74
UKG,2014,wholesale-motor,exports,222
UKG,2014,retail,exports,72
UKG,2014,information-communication,exports,1089
UKG,2014,real-estate,exports,788
UKG,2014,insurance-pension,exports,1306
UKG,2014,financial,exports,2184
UKG,2014,administrative-support,exports,140
UKG,2014,other,exports,23
UKG,2014,all,exports,8262
UKH,2014,primary-utilities,exports,19
UKH,2014,manufacturing,exports,1603
UKH,2014,transport,exports,1832
UKH,2014,travel,exports,1270
UKH,2014,construction,exports,178
UKH,2014,wholesale-motor,exports,255
UKH,2014,retail,exports,77
UKH,2014,information-communication,exports,1598
UKH,2014,real-estate,exports,2393
UKH,2014,insurance-pension,exports,1357
UKH,2014,financial,exports,1793
UKH,2014,administrative-support,exports,472
UKH,2014,other,exports,44
UKH,2014,all,exports,12891
UKI,2014,primary-utilities,exports,16
UKI,2014,manufacturing,exports,398
UKI,2014,transport,exports,10312
UKI,2014,travel,exports,15542
UKI,2014,construction,exports,1066
UKI,2014,wholesale-motor,exports,1681
UKI,2014,retail,exports,480
UKI,2014,information-communication,exports,14595
UKI,2014,real-estate,exports,14834
UKI,2014,insurance-pension,exports,3526
UKI,2014,financial,exports,25171
UKI,2014,administrative-support,exports,2991
UKI,2014,other,exports,1355
UKI,2014,all,exports,91968
UKJ,2014,primary-utilities,exports,122
UKJ,2014,manufacturing,exports,2061
UKJ,2014,transport,exports,3847
UKJ,2014,travel,exports,2841
UKJ,2014,construction,exports,106
UKJ,2014,wholesale-motor,exports,2150
UKJ,2014,retail,exports,351
UKJ,2014,information-communication,exports,7590
UKJ,2014,real-estate,exports,7419
UKJ,2014,insurance-pension,exports,4508
UKJ,2014,financial,exports,2897
UKJ,2014,administrative-support,exports,980
UKJ,2014,other,exports,402
UKJ,2014,all,exports,35275
UKK,2014,primary-utilities,exports,30
UKK,2014,manufacturing,exports,1517
UKK,2014,transport,exports,955
UKK,2014,travel,exports,1362
UKK,2014,construction,exports,87
UKK,2014,wholesale-motor,exports,373
UKK,2014,retail,exports,94
UKK,2014,information-communication,exports,857
UKK,2014,real-estate,exports,1041
UKK,2014,insurance-pension,exports,1871
UKK,2014,financial,exports,1956
UKK,2014,administrative-support,exports,217
UKK,2014,other,exports,68
UKK,2014,all,exports,10429
UKL,2014,primary-utilities,exports,19
UKL,2014,manufacturing,exports,1151
UKL,2014,transport,exports,377
UKL,2014,travel,exports,483
UKL,2014,construction,exports,28
UKL,2014,wholesale-motor,exports,47
UKL,2014,retail,exports,30
UKL,2014,information-communication,exports,318
UKL,2014,real-estate,exports,205
UKL,2014,insurance-pension,exports,1162
UKL,2014,financial,exports,829
UKL,2014,administrative-support,exports,35
UKL,2014,other,exports,6
UKL,2014,all,exports,4689
UKM,2014,primary-utilities,exports,967
UKM,2014,manufacturing,exports,1451
UKM,2014,transport,exports,2009
UKM,2014,travel,exports,2426
UKM,2014,construction,exports,124
UKM,2014,wholesale-motor,exports,286
UKM,2014,retail,exports,65
UKM,2014,information-communication,exports,827
UKM,2014,real-estate,exports,2994
UKM,2014,insurance-pension,exports,1992
UKM,2014,financial,exports,3235
UKM,2014,administrative-support,exports,439
UKM,2014,other,exports,134
UKM,2014,all,exports,16950
UK,2014,primary-utilities,exports,1311
UK,2014,manufacturing,exports,14708
UK,2014,transport,exports,24305
UK,2014,travel,exports,27981
UK,2014,construction,exports,1970
UK,2014,wholesale-motor,exports,6840
UK,2014,retail,exports,1341
UK,2014,information-communication,exports,28988
UK,2014,real-estate,exports,32780
UK,2014,insurance-pension,exports,18890
UK,2014,financial,exports,45666
UK,2014,administrative-support,exports,5927
UK,2014,other,exports,2655
UK,2014,all,exports,213364
UKC,2015,primary-utilities,exports,2
UKC,2015,manufacturing,exports,760
UKC,2015,transport,exports,572
UKC,2015,travel,exports,411
UKC,2015,construction,exports,20
UKC,2015,wholesale-motor,exports,67
UKC,2015,retail,exports,17
UKC,2015,information-communication,exports,163
UKC,2015,real-estate,exports,389
UKC,2015,insurance-pension,exports,309
UKC,2015,financial,exports,881
UKC,2015,administrative-support,exports,93
UKC,2015,other,exports,15
UKC,2015,all,exports,3699
UKD,2015,primary-utilities,exports,33
UKD,2015,manufacturing,exports,3888
UKD,2015,transport,exports,2311
UKD,2015,travel,exports,1829
UKD,2015,construction,exports,43
UKD,2015,wholesale-motor,exports,1236
UKD,2015,retail,exports,70
UKD,2015,information-communication,exports,809
UKD,2015,real-estate,exports,1997
UKD,2015,insurance-pension,exports,1619
UKD,2015,financial,exports,3674
UKD,2015,administrative-support,exports,456
UKD,2015,other,exports,505
UKD,2015,all,exports,18470
UKE,2015,primary-utilities,exports,26
UKE,2015,manufacturing,exports,781
UKE,2015,transport,exports,1103
UKE,2015,travel,exports,761
UKE,2015,construction,exports,34
UKE,2015,wholesale-motor,exports,133
UKE,2015,retail,exports,41
UKE,2015,information-communication,exports,401
UKE,2015,real-estate,exports,584
UKE,2015,insurance-pension,exports,549
UKE,2015,financial,exports,2609
UKE,2015,administrative-support,exports,106
UKE,2015,other,exports,67
UKE,2015,all,exports,7195
UKF,2015,primary-utilities,exports,52
UKF,2015,manufacturing,exports,1314
UKF,2015,transport,exports,548
UKF,2015,travel,exports,673
UKF,2015,construction,exports,20
UKF,2015,wholesale-motor,exports,153
UKF,2015,retail,exports,35
UKF,2015,information-communication,exports,547
UKF,2015,real-estate,exports,442
UKF,2015,insurance-pension,exports,227
UKF,2015,financial,exports,1499
UKF,2015,administrative-support,exports,113
UKF,2015,other,exports,52
UKF,2015,all,exports,5675
UKG,2015,primary-utilities,exports,20
UKG,2015,manufacturing,exports,936
UKG,2015,transport,exports,702
UKG,2015,travel,exports,1233
UKG,2015,construction,exports,45
UKG,2015,wholesale-motor,exports,178
UKG,2015,retail,exports,44
UKG,2015,information-communication,exports,759
UKG,2015,real-estate,exports,694
UKG,2015,insurance-pension,exports,1116
UKG,2015,financial,exports,2246
UKG,2015,administrative-support,exports,122
UKG,2015,other,exports,43
UKG,2015,all,exports,8138
UKH,2015,primary-utilities,exports,31
UKH,2015,manufacturing,exports,1131
UKH,2015,transport,exports,1691
UKH,2015,travel,exports,1451
UKH,2015,construction,exports,135
UKH,2015,wholesale-motor,exports,230
UKH,2015,retail,exports,63
UKH,2015,information-communication,exports,1615
UKH,2015,real-estate,exports,2390
UKH,2015,insurance-pension,exports,1240
UKH,2015,financial,exports,1980
UKH,2015,administrative-support,exports,347
UKH,2015,other,exports,79
UKH,2015,all,exports,12383
UKI,2015,primary-utilities,exports,28
UKI,2015,manufacturing,exports,620
UKI,2015,transport,exports,11175
UKI,2015,travel,exports,18006
UKI,2015,construction,exports,867
UKI,2015,wholesale-motor,exports,3183
UKI,2015,retail,exports,491
UKI,2015,information-communication,exports,15638
UKI,2015,real-estate,exports,16597
UKI,2015,insurance-pension,exports,3089
UKI,2015,financial,exports,28818
UKI,2015,administrative-support,exports,3763
UKI,2015,other,exports,1354
UKI,2015,all,exports,103628
UKJ,2015,primary-utilities,exports,110
UKJ,2015,manufacturing,exports,2043
UKJ,2015,transport,exports,4082
UKJ,2015,travel,exports,3386
UKJ,2015,construction,exports,57
UKJ,2015,wholesale-motor,exports,1919
UKJ,2015,retail,exports,301
UKJ,2015,information-communication,exports,7509
UKJ,2015,real-estate,exports,7668
UKJ,2015,insurance-pension,exports,4200
UKJ,2015,financial,exports,3188
UKJ,2015,administrative-support,exports,1066
UKJ,2015,other,exports,277
UKJ,2015,all,exports,35806
UKK,2015,primary-utilities,exports,17
UKK,2015,manufacturing,exports,1556
UKK,2015,transport,exports,1110
UKK,2015,travel,exports,1596
UKK,2015,construction,exports,73
UKK,2015,wholesale-motor,exports,309
UKK,2015,retail,exports,88
UKK,2015,information-communication,exports,744
UKK,2015,real-estate,exports,915
UKK,2015,insurance-pension,exports,1371
UKK,2015,financial,exports,2325
UKK,2015,administrative-support,exports,171
UKK,2015,other,exports,32
UKK,2015,all,exports,10305
UKL,2015,primary-utilities,exports,18
UKL,2015,manufacturing,exports,1037
UKL,2015,transport,exports,560
UKL,2015,travel,exports,619
UKL,2015,construction,exports,10
UKL,2015,wholesale-motor,exports,29
UKL,2015,retail,exports,22
UKL,2015,information-communication,exports,268
UKL,2015,real-estate,exports,209
UKL,2015,insurance-pension,exports,1219
UKL,2015,financial,exports,979
UKL,2015,administrative-support,exports,54
UKL,2015,other,exports,6
UKL,2015,all,exports,5031
UKM,2015,primary-utilities,exports,922
UKM,2015,manufacturing,exports,1290
UKM,2015,transport,exports,1912
UKM,2015,travel,exports,2561
UKM,2015,construction,exports,102
UKM,2015,wholesale-motor,exports,168
UKM,2015,retail,exports,44
UKM,2015,information-communication,exports,717
UKM,2015,real-estate,exports,3400
UKM,2015,insurance-pension,exports,1729
UKM,2015,financial,exports,3459
UKM,2015,administrative-support,exports,257
UKM,2015,other,exports,143
UKM,2015,all,exports,16703
UK,2015,primary-utilities,exports,1259
UK,2015,manufacturing,exports,15354
UK,2015,transport,exports,25768
UK,2015,travel,exports,32527
UK,2015,construction,exports,1404
UK,2015,wholesale-motor,exports,7606
UK,2015,retail,exports,1215
UK,2015,information-communication,exports,29171
UK,2015,real-estate,exports,35286
UK,2015,insurance-pension,exports,16668
UK,2015,financial,exports,51658
UK,2015,administrative-support,exports,6547
UK,2015,other,exports,2572
UK,2015,all,exports,227034
UKC,2016,primary-utilities,exports,7
UKC,2016,manufacturing,exports,828
UKC,2016,transport,exports,502
UKC,2016,travel,exports,659
UKC,2016,construction,exports,17
UKC,2016,wholesale-motor,exports,47
UKC,2016,retail,exports,20
UKC,2016,information-communication,exports,299
UKC,2016,real-estate,exports,469
UKC,2016,insurance-pension,exports,291
UKC,2016,financial,exports,994
UKC,2016,administrative-support,exports,63
UKC,2016,other,exports,35
UKC,2016,all,exports,4229
UKD,2016,primary-utilities,exports,117
UKD,2016,manufacturing,exports,4483
UKD,2016,transport,exports,2639
UKD,2016,travel,exports,1839
UKD,2016,construction,exports,59
UKD,2016,wholesale-motor,exports,237
UKD,2016,retail,exports,101
UKD,2016,information-communication,exports,985
UKD,2016,real-estate,exports,1912
UKD,2016,insurance-pension,exports,1710
UKD,2016,financial,exports,3303
UKD,2016,administrative-support,exports,336
UKD,2016,other,exports,588
UKD,2016,all,exports,18309
UKE,2016,primary-utilities,exports,38
UKE,2016,manufacturing,exports,861
UKE,2016,transport,exports,930
UKE,2016,travel,exports,800
UKE,2016,construction,exports,32
UKE,2016,wholesale-motor,exports,154
UKE,2016,retail,exports,39
UKE,2016,information-communication,exports,608
UKE,2016,real-estate,exports,757
UKE,2016,insurance-pension,exports,587
UKE,2016,financial,exports,2546
UKE,2016,administrative-support,exports,146
UKE,2016,other,exports,282
UKE,2016,all,exports,7781
UKF,2016,primary-utilities,exports,56
UKF,2016,manufacturing,exports,1046
UKF,2016,transport,exports,467
UKF,2016,travel,exports,792
UKF,2016,construction,exports,41
UKF,2016,wholesale-motor,exports,329
UKF,2016,retail,exports,40
UKF,2016,information-communication,exports,687
UKF,2016,real-estate,exports,627
UKF,2016,insurance-pension,exports,159
UKF,2016,financial,exports,1364
UKF,2016,administrative-support,exports,283
UKF,2016,other,exports,63
UKF,2016,all,exports,5954
UKG,2016,primary-utilities,exports,34
UKG,2016,manufacturing,exports,605
UKG,2016,transport,exports,904
UKG,2016,travel,exports,1365
UKG,2016,construction,exports,35
UKG,2016,wholesale-motor,exports,269
UKG,2016,retail,exports,50
UKG,2016,information-communication,exports,958
UKG,2016,real-estate,exports,888
UKG,2016,insurance-pension,exports,1474
UKG,2016,financial,exports,2433
UKG,2016,administrative-support,exports,102
UKG,2016,other,exports,51
UKG,2016,all,exports,9169
UKH,2016,primary-utilities,exports,34
UKH,2016,manufacturing,exports,1055
UKH,2016,transport,exports,2514
UKH,2016,travel,exports,1364
UKH,2016,construction,exports,134
UKH,2016,wholesale-motor,exports,296
UKH,2016,retail,exports,51
UKH,2016,information-communication,exports,1596
UKH,2016,real-estate,exports,2834
UKH,2016,insurance-pension,exports,1367
UKH,2016,financial,exports,1576
UKH,2016,administrative-support,exports,730
UKH,2016,other,exports,156
UKH,2016,all,exports,13708
UKI,2016,primary-utilities,exports,51
UKI,2016,manufacturing,exports,700
UKI,2016,transport,exports,10512
UKI,2016,travel,exports,18960
UKI,2016,construction,exports,472
UKI,2016,wholesale-motor,exports,4637
UKI,2016,retail,exports,534
UKI,2016,information-communication,exports,19704
UKI,2016,real-estate,exports,19792
UKI,2016,insurance-pension,exports,4024
UKI,2016,financial,exports,32713
UKI,2016,administrative-support,exports,3554
UKI,2016,other,exports,1655
UKI,2016,all,exports,117306
UKJ,2016,primary-utilities,exports,85
UKJ,2016,manufacturing,exports,2817
UKJ,2016,transport,exports,5085
UKJ,2016,travel,exports,3534
UKJ,2016,construction,exports,82
UKJ,2016,wholesale-motor,exports,2109
UKJ,2016,retail,exports,143
UKJ,2016,information-communication,exports,7459
UKJ,2016,real-estate,exports,8216
UKJ,2016,insurance-pension,exports,4294
UKJ,2016,financial,exports,3416
UKJ,2016,administrative-support,exports,1499
UKJ,2016,other,exports,528
UKJ,2016,all,exports,39266
UKK,2016,primary-utilities,exports,24
UKK,2016,manufacturing,exports,1616
UKK,2016,transport,exports,1083
UKK,2016,travel,exports,2136
UKK,2016,construction,exports,75
UKK,2016,wholesale-motor,exports,356
UKK,2016,retail,exports,43
UKK,2016,information-communication,exports,1208
UKK,2016,real-estate,exports,1032
UKK,2016,insurance-pension,exports,1384
UKK,2016,financial,exports,2209
UKK,2016,administrative-support,exports,127
UKK,2016,other,exports,54
UKK,2016,all,exports,11346
UKL,2016,primary-utilities,exports,28
UKL,2016,manufacturing,exports,1171
UKL,2016,transport,exports,577
UKL,2016,travel,exports,709
UKL,2016,construction,exports,13
UKL,2016,wholesale-motor,exports,27
UKL,2016,retail,exports,19
UKL,2016,information-communication,exports,271
UKL,2016,real-estate,exports,257
UKL,2016,insurance-pension,exports,1445
UKL,2016,financial,exports,1012
UKL,2016,administrative-support,exports,62
UKL,2016,other,exports,11
UKL,2016,all,exports,5604
UKM,2016,primary-utilities,exports,811
UKM,2016,manufacturing,exports,1643
UKM,2016,transport,exports,2204
UKM,2016,travel,exports,2955
UKM,2016,construction,exports,114
UKM,2016,wholesale-motor,exports,336
UKM,2016,retail,exports,45
UKM,2016,information-communication,exports,900
UKM,2016,real-estate,exports,3062
UKM,2016,insurance-pension,exports,1957
UKM,2016,financial,exports,3985
UKM,2016,administrative-support,exports,290
UKM,2016,other,exports,193
UKM,2016,all,exports,18494
UK,2016,primary-utilities,exports,1285
UK,2016,manufacturing,exports,16824
UK,2016,transport,exports,27417
UK,2016,travel,exports,35113
UK,2016,construction,exports,1074
UK,2016,wholesale-motor,exports,8798
UK,2016,retail,exports,1084
UK,2016,information-communication,exports,34676
UK,2016,real-estate,exports,39845
UK,2016,insurance-pension,exports,18692
UK,2016,financial,exports,55551
UK,2016,administrative-support,exports,7192
UK,2016,other,exports,3614
UK,2016,all,exports,251167
UKN,2011,primary-utilities,exports,35
UKN,2011,manufacturing,exports,117
UKN,2011,transport,exports,276
UKN,2011,travel,exports,277
UKN,2011,construction,exports,156
UKN,2011,wholesale-motor,exports,45
UKN,2011,retail,exports,13
UKN,2011,information-communication,exports,222
UKN,2011,real-estate,exports,146
UKN,2011,administrative-support,exports,97
UKN,2011,other,exports,20
UKN,2011,all,exports,1653
UKN,2012,primary-utilities,exports,27
UKN,2012,manufacturing,exports,200
UKN,2012,transport,exports,277
UKN,2012,travel,exports,268
UKN,2012,construction,exports,223
UKN,2012,wholesale-motor,exports,96
UKN,2012,retail,exports,5
UKN,2012,information-communication,exports,227
UKN,2012,real-estate,exports,160
UKN,2012,administrative-support,exports,109
UKN,2012,other,exports,27
UKN,2012,all,exports,1868
UKN,2013,manufacturing,exports,164
UKN,2013,transport,exports,309
UKN,2013,travel,exports,265
UKN,2013,construction,exports,205
UKN,2013,wholesale-motor,exports,52
UKN,2013,retail,exports,4
UKN,2013,information-communication,exports,446
UKN,2013,administrative-support,exports,116
UKN,2013,other,exports,33
UKN,2013,all,exports,2557
UKN,2014,manufacturing,exports,178
UKN,2014,transport,exports,294
UKN,2014,travel,exports,302
UKN,2014,construction,exports,241
UKN,2014,wholesale-motor,exports,40
UKN,2014,retail,exports,8
UKN,2014,information-communication,exports,433
UKN,2014,administrative-support,exports,118
UKN,2014,other,exports,37
UKN,2014,all,exports,2528
UKN,2015,manufacturing,exports,167
UKN,2015,transport,exports,285
UKN,2015,travel,exports,300
UKN,2015,construction,exports,166
UKN,2015,wholesale-motor,exports,58
UKN,2015,retail,exports,10
UKN,2015,information-communication,exports,466
UKN,2015,administrative-support,exports,142
UKN,2015,other,exports,53
UKN,2015,all,exports,2387
