Label,URI,Parent URI,Sort Priority,Description,Local Notation
Human health activities,http://business.data.gov.uk/companies/def/sic-2007/86,http://business.data.gov.uk/companies/def/sic-2007/Q,,,86
Social work activities without accommodation,http://business.data.gov.uk/companies/def/sic-2007/88,http://business.data.gov.uk/companies/def/sic-2007/Q,,,88
Other mining and quarrying,http://business.data.gov.uk/companies/def/sic-2007/08,http://business.data.gov.uk/companies/def/sic-2007/B,,,08
Extraction of crude petroleum and natural gas,http://business.data.gov.uk/companies/def/sic-2007/06,http://business.data.gov.uk/companies/def/sic-2007/B,,,06
Mining support service activities,http://business.data.gov.uk/companies/def/sic-2007/09,http://business.data.gov.uk/companies/def/sic-2007/B,,,09
Mining of metal ores,http://business.data.gov.uk/companies/def/sic-2007/07,http://business.data.gov.uk/companies/def/sic-2007/B,,,07
"Manufacture of computer, electronic and optical products",http://business.data.gov.uk/companies/def/sic-2007/26,http://business.data.gov.uk/companies/def/sic-2007/C,,,26
Repair and installation of machinery and equipment,http://business.data.gov.uk/companies/def/sic-2007/33,http://business.data.gov.uk/companies/def/sic-2007/C,,,33
Manufacture of other non-metallic mineral products,http://business.data.gov.uk/companies/def/sic-2007/23,http://business.data.gov.uk/companies/def/sic-2007/C,,,23
"Manufacture of motor vehicles, trailers and semi-trailers",http://business.data.gov.uk/companies/def/sic-2007/29,http://business.data.gov.uk/companies/def/sic-2007/C,,,29
Other manufacturing,http://business.data.gov.uk/companies/def/sic-2007/32,http://business.data.gov.uk/companies/def/sic-2007/C,,,32
Printing and reproduction of recorded media,http://business.data.gov.uk/companies/def/sic-2007/18,http://business.data.gov.uk/companies/def/sic-2007/C,,,18
Manufacture of rubber and plastic products,http://business.data.gov.uk/companies/def/sic-2007/22,http://business.data.gov.uk/companies/def/sic-2007/C,,,22
Manufacture of chemicals and chemical products,http://business.data.gov.uk/companies/def/sic-2007/20,http://business.data.gov.uk/companies/def/sic-2007/C,,,20
Manufacture of food products,http://business.data.gov.uk/companies/def/sic-2007/10,http://business.data.gov.uk/companies/def/sic-2007/C,,,10
Manufacture of electrical equipment,http://business.data.gov.uk/companies/def/sic-2007/27,http://business.data.gov.uk/companies/def/sic-2007/C,,,27
Manufacture of machinery and equipment n.e.c.,http://business.data.gov.uk/companies/def/sic-2007/28,http://business.data.gov.uk/companies/def/sic-2007/C,,,28
Manufacture of other transport equipment,http://business.data.gov.uk/companies/def/sic-2007/30,http://business.data.gov.uk/companies/def/sic-2007/C,,,30
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",http://business.data.gov.uk/companies/def/sic-2007/16,http://business.data.gov.uk/companies/def/sic-2007/C,,,16
Manufacture of leather and related products,http://business.data.gov.uk/companies/def/sic-2007/15,http://business.data.gov.uk/companies/def/sic-2007/C,,,15
"Manufacture of fabricated metal products, except machinery and equipment",http://business.data.gov.uk/companies/def/sic-2007/25,http://business.data.gov.uk/companies/def/sic-2007/C,,,25
Manufacture of beverages,http://business.data.gov.uk/companies/def/sic-2007/11,http://business.data.gov.uk/companies/def/sic-2007/C,,,11
Manufacture of basic metals,http://business.data.gov.uk/companies/def/sic-2007/24,http://business.data.gov.uk/companies/def/sic-2007/C,,,24
Manufacture of textiles,http://business.data.gov.uk/companies/def/sic-2007/13,http://business.data.gov.uk/companies/def/sic-2007/C,,,13
Manufacture of furniture,http://business.data.gov.uk/companies/def/sic-2007/31,http://business.data.gov.uk/companies/def/sic-2007/C,,,31
Manufacture of basic pharmaceutical products and pharmaceutical preparations,http://business.data.gov.uk/companies/def/sic-2007/21,http://business.data.gov.uk/companies/def/sic-2007/C,,,21
Manufacture of paper and paper products,http://business.data.gov.uk/companies/def/sic-2007/17,http://business.data.gov.uk/companies/def/sic-2007/C,,,17
Manufacture of wearing apparel,http://business.data.gov.uk/companies/def/sic-2007/14,http://business.data.gov.uk/companies/def/sic-2007/C,,,14
Manufacture of coke and refined petroleum products,http://business.data.gov.uk/companies/def/sic-2007/19,http://business.data.gov.uk/companies/def/sic-2007/C,,,19
Civil engineering,http://business.data.gov.uk/companies/def/sic-2007/42,http://business.data.gov.uk/companies/def/sic-2007/F,,,42
Specialised construction activities,http://business.data.gov.uk/companies/def/sic-2007/43,http://business.data.gov.uk/companies/def/sic-2007/F,,,43
Construction of buildings,http://business.data.gov.uk/companies/def/sic-2007/41,http://business.data.gov.uk/companies/def/sic-2007/F,,,41
"Electricity, gas, steam and air conditioning supply",http://business.data.gov.uk/companies/def/sic-2007/35,http://business.data.gov.uk/companies/def/sic-2007/D,,,35
Security and investigation activities,http://business.data.gov.uk/companies/def/sic-2007/80,http://business.data.gov.uk/companies/def/sic-2007/N,,,80
"Office administrative, office support and other business support activities",http://business.data.gov.uk/companies/def/sic-2007/82,http://business.data.gov.uk/companies/def/sic-2007/N,,,82
Services to buildings and landscape activities,http://business.data.gov.uk/companies/def/sic-2007/81,http://business.data.gov.uk/companies/def/sic-2007/N,,,81
Rental and leasing activities,http://business.data.gov.uk/companies/def/sic-2007/77,http://business.data.gov.uk/companies/def/sic-2007/N,,,77
Employment activities,http://business.data.gov.uk/companies/def/sic-2007/78,http://business.data.gov.uk/companies/def/sic-2007/N,,,78
"Travel agency, tour operator and other reservation service and related activities",http://business.data.gov.uk/companies/def/sic-2007/79,http://business.data.gov.uk/companies/def/sic-2007/N,,,79
"Crop and animal production, hunting and related service activities",http://business.data.gov.uk/companies/def/sic-2007/01,http://business.data.gov.uk/companies/def/sic-2007/A,,,01
Fishing and aquaculture,http://business.data.gov.uk/companies/def/sic-2007/03,http://business.data.gov.uk/companies/def/sic-2007/A,,,03
Forestry and logging,http://business.data.gov.uk/companies/def/sic-2007/02,http://business.data.gov.uk/companies/def/sic-2007/A,,,02
Repair of computers and personal and household goods,http://business.data.gov.uk/companies/def/sic-2007/95,http://business.data.gov.uk/companies/def/sic-2007/S,,,95
Other personal service activities,http://business.data.gov.uk/companies/def/sic-2007/96,http://business.data.gov.uk/companies/def/sic-2007/S,,,96
Activities of membership organisations,http://business.data.gov.uk/companies/def/sic-2007/94,http://business.data.gov.uk/companies/def/sic-2007/S,,,94
Telecommunications,http://business.data.gov.uk/companies/def/sic-2007/61,http://business.data.gov.uk/companies/def/sic-2007/J,,,61
Publishing activities,http://business.data.gov.uk/companies/def/sic-2007/58,http://business.data.gov.uk/companies/def/sic-2007/J,,,58
"Motion picture, video and television programme production, sound recording and music publishing activities",http://business.data.gov.uk/companies/def/sic-2007/59,http://business.data.gov.uk/companies/def/sic-2007/J,,,59
"Computer programming, consultancy and related activities",http://business.data.gov.uk/companies/def/sic-2007/62,http://business.data.gov.uk/companies/def/sic-2007/J,,,62
Information service activities,http://business.data.gov.uk/companies/def/sic-2007/63,http://business.data.gov.uk/companies/def/sic-2007/J,,,63
Programming and broadcasting activities,http://business.data.gov.uk/companies/def/sic-2007/60,http://business.data.gov.uk/companies/def/sic-2007/J,,,60
"Libraries, archives, museums and other cultural activities",http://business.data.gov.uk/companies/def/sic-2007/91,http://business.data.gov.uk/companies/def/sic-2007/R,,,91
Sports activities and amusement and recreation activities,http://business.data.gov.uk/companies/def/sic-2007/93,http://business.data.gov.uk/companies/def/sic-2007/R,,,93
"Creative, arts and entertainment activities",http://business.data.gov.uk/companies/def/sic-2007/90,http://business.data.gov.uk/companies/def/sic-2007/R,,,90
Gambling and betting activities,http://business.data.gov.uk/companies/def/sic-2007/92,http://business.data.gov.uk/companies/def/sic-2007/R,,,92
Architectural and engineering activities; technical testing and analysis,http://business.data.gov.uk/companies/def/sic-2007/71,http://business.data.gov.uk/companies/def/sic-2007/M,,,71
Veterinary activities,http://business.data.gov.uk/companies/def/sic-2007/75,http://business.data.gov.uk/companies/def/sic-2007/M,,,75
Legal and accounting activities,http://business.data.gov.uk/companies/def/sic-2007/69,http://business.data.gov.uk/companies/def/sic-2007/M,,,69
Advertising and market research,http://business.data.gov.uk/companies/def/sic-2007/73,http://business.data.gov.uk/companies/def/sic-2007/M,,,73
"Other professional, scientific and technical activities",http://business.data.gov.uk/companies/def/sic-2007/74,http://business.data.gov.uk/companies/def/sic-2007/M,,,74
Scientific research and development,http://business.data.gov.uk/companies/def/sic-2007/72,http://business.data.gov.uk/companies/def/sic-2007/M,,,72
Activities of head offices; management consultancy activities,http://business.data.gov.uk/companies/def/sic-2007/70,http://business.data.gov.uk/companies/def/sic-2007/M,,,70
Food and beverage service activities,http://business.data.gov.uk/companies/def/sic-2007/56,http://business.data.gov.uk/companies/def/sic-2007/I,,,56
Accommodation,http://business.data.gov.uk/companies/def/sic-2007/55,http://business.data.gov.uk/companies/def/sic-2007/I,,,55
Land transport and transport via pipelines,http://business.data.gov.uk/companies/def/sic-2007/49,http://business.data.gov.uk/companies/def/sic-2007/H,,,49
Water transport,http://business.data.gov.uk/companies/def/sic-2007/50,http://business.data.gov.uk/companies/def/sic-2007/H,,,50
Warehousing and support activities for transportation,http://business.data.gov.uk/companies/def/sic-2007/52,http://business.data.gov.uk/companies/def/sic-2007/H,,,52
Postal and courier activities,http://business.data.gov.uk/companies/def/sic-2007/53,http://business.data.gov.uk/companies/def/sic-2007/H,,,53
Air transport,http://business.data.gov.uk/companies/def/sic-2007/51,http://business.data.gov.uk/companies/def/sic-2007/H,,,51
Sewerage,http://business.data.gov.uk/companies/def/sic-2007/37,http://business.data.gov.uk/companies/def/sic-2007/E,,,37
"Waste collection, treatment and disposal activities; materials recovery",http://business.data.gov.uk/companies/def/sic-2007/38,http://business.data.gov.uk/companies/def/sic-2007/E,,,38
"Water collection, treatment and supply",http://business.data.gov.uk/companies/def/sic-2007/36,http://business.data.gov.uk/companies/def/sic-2007/E,,,36
Activities auxiliary to financial services and insurance activities,http://business.data.gov.uk/companies/def/sic-2007/66,http://business.data.gov.uk/companies/def/sic-2007/K,,,66
"Financial service activities, except insurance and pension funding",http://business.data.gov.uk/companies/def/sic-2007/64,http://business.data.gov.uk/companies/def/sic-2007/K,,,64
"Insurance, reinsurance and pension funding, except compulsory social security",http://business.data.gov.uk/companies/def/sic-2007/65,http://business.data.gov.uk/companies/def/sic-2007/K,,,65
"Retail trade, except of motor vehicles and motorcycles",http://business.data.gov.uk/companies/def/sic-2007/47,http://business.data.gov.uk/companies/def/sic-2007/G,,,47
"Wholesale trade, except of motor vehicles and motorcycles",http://business.data.gov.uk/companies/def/sic-2007/46,http://business.data.gov.uk/companies/def/sic-2007/G,,,46
Wholesale and retail trade and repair of motor vehicles and motorcycles,http://business.data.gov.uk/companies/def/sic-2007/45,http://business.data.gov.uk/companies/def/sic-2007/G,,,45
Public administration and defence; compulsory social security,http://business.data.gov.uk/companies/def/sic-2007/84,http://business.data.gov.uk/companies/def/sic-2007/O,,,84
Education,http://business.data.gov.uk/companies/def/sic-2007/85,http://business.data.gov.uk/companies/def/sic-2007/P,,,85
Real estate activities,http://business.data.gov.uk/companies/def/sic-2007/68,http://business.data.gov.uk/companies/def/sic-2007/L,,,68
Total,http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-services-by-industry-country-and-service-type-exports#concept/sic-2007/Total,,,,Total
Unknown Industry,http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-services-by-industry-country-and-service-type-exports#concept/sic-2007/U,,,,U
No Industry,http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-services-by-industry-country-and-service-type-exports#concept/sic-2007/N,,,,N
