title,name,component_attachment,property_template,value_template,datatype,value_transformation,regex,range
Geography,geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,http://statistics.data.gov.uk/id/statistical-geography/{geography},string,,,
Date,date,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{date},string,,,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gss-data.org.uk/def/measure/{measure_type},string,slugize,,http://purl.org/linked-data/cube#MeasureProperty
Unit,unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,http://gss-data.org.uk/def/concept/measurement-units/{unit},string,unitize,,
SITC Section,sitc_section,qb:dimension,http://gss-data.org.uk/def/dimension/sitc-section,http://gss-data.org.uk/def/concept/sitc-sections/{sitc_section},string,slugize,,
Flow,flow,qb:dimension,http://gss-data.org.uk/def/dimension/flow-directions,http://gss-data.org.uk/def/concept/flow-directions/{flow},string,slugize,,
GBP Total,gbp_total,qb:measure,http://gss-data.org.uk/def/measure/gbp-total,,string,,,
Employee Count,employee_count,qb:measure,http://gss-data.org.uk/def/measure/employee-count,,string,,,
Business Count,business_count,qb:measure,http://gss-data.org.uk/def/measure/business-count,,string,,,
Net Mass,net_mass,qb:measure,http://gss-data.org.uk/def/measure/net-mass,,string,,,
Value,value,,http://gss-data.org.uk/def/measure/{measure_type},,number,,,
Year,year,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{year},string,,,
Foreign Country,foreign_country,qb:dimension,http://gss-data.org.uk/def/dimension/foreign-country,http://gss-data.org.uk/def/concept/countries/{foreign_country},string,slugize,,
Trade Area,trade_area,qb:dimension,http://gss-data.org.uk/def/dimension/trade-area,http://gss-data.org.uk/def/concept/trade-area/{trade_area},string,slugize,,
Combined Nomenclature,combined_nomenclature,qb:dimension,http://gss-data.org.uk/def/dimension/product,https://trade.ec.europa.eu/def/{combined_nomenclature},string,,,
Period,period,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/{+period},string,,,http://www.w3.org/2006/time#Interval
CDID,cdid,qb:attribute,http://gss-data.org.uk/def/attribute/cdid,,string,,,
BOP Services,bop_services,qb:dimension,http://gss-data.org.uk/def/dimension/bop-services,http://gss-data.org.uk/def/concept/bop-services/{bop_services},string,,,
ITIS Service,itis_service,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/itis-services/{itis_service},string,,,
ITIS Industry,itis_industry,qb:dimension,http://gss-data.org.uk/def/dimension/itis-industry,http://gss-data.org.uk/def/concept/itis-industry/{itis_industry},string,,,
Pink Book Services,pink_book_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/pink-book-services/{pink_book_services},string,,,
Seasonal Adjustment,seasonal_adjustment,qb:dimension,http://gss-data.org.uk/def/dimension/seasonal-adjustment,http://gss-data.org.uk/def/concept/seasonal-adjustments/{seasonal_adjustment},string,,,
Turnover(GBP Thousands),turnover_size_band,qb:dimension,http://gss-data.org.uk/def/dimension/turnover,http://gss-data.org.uk/def/concept/turnover-size-bands/{turnover_size_band},string,slugize,,
Employment,employment,qb:dimension,http://gss-data.org.uk/def/dimension/employment,http://gss-data.org.uk/def/concept/employment-size-bands/{employment},string,slugize,,
Age of Business(Years),age_of_business,qb:dimension,http://gss-data.org.uk/def/dimension/age-of-business,http://gss-data.org.uk/def/concept/age-of-business/{age_of_business},string,slugize,,
Country of Ownership,country_of_ownership,qb:dimension,http://gss-data.org.uk/def/dimension/country-of-ownership,http://gss-data.org.uk/def/concept/countries-of-ownership/{country_of_ownership},string,slugize,,
CPA 2008,cpa2008,qb:dimension,http://gss-data.org.uk/def/dimension/cpa,http://stamina-project.org/codes/cpav2008/{cpa2008},string,,,
Price Classification,price_classification,qb:dimension,http://gss-data.org.uk/def/dimension/price-classification,http://gss-data.org.uk/def/concept/price-classifications/{price_classification},string,,,
CORD SITC,cord_sitc,qb:dimension,http://gss-data.org.uk/def/dimension/cord-sitc,http://gss-data.org.uk/def/concept/cord-sitc/{cord_sitc},string,,,
HMRC Partner Geography,hmrc_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/hmrc-partner-geography,http://gss-data.org.uk/def/concept/hmrc-geographies/{hmrc_partner_geography},string,,,
HMRC Reporter Region,hmrc_reporter_region,qb:dimension,http://gss-data.org.uk/def/dimension/hmrc-reporter-region,http://gss-data.org.uk/def/concept/hmrc-regions/{hmrc_reporter_region},string,,,
ONS Partner Geography,ons_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/ons-partner-geography,http://gss-data.org.uk/def/concept-scheme/sdmx-bop/cl_area/{ons_partner_geography},string,,,
ONS Reporter Geography,ons_reporter_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://statistics.data.gov.uk/id/statistical-geography/{ons_reporter_geography},string,,,
ONS Trade Areas ITIS,ons_trade_geo_itis,qb:dimension,http://gss-data.org.uk/def/dimension/trade-partner-geography,http://gss-data.org.uk/def/concept/ons-trade-areas-itis/{ons_trade_geo_itis},string,,,
NUTS Geography,nuts_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/concept/nuts-geography/{nuts_geography},string,,,
International Trade Basis,international_trade_basis,qb:dimension,http://gss-data.org.uk/def/dimension/international-trade-basis,http://gss-data.org.uk/def/concept/international-trade-basis/{international_trade_basis},string,,,
Export and Import Activity,export_and_import_activity,qb:dimension,http://gss-data.org.uk/def/dimension/export-and-import-activity,http://gss-data.org.uk/def/concept/export-and-import-activity/{export_and_import_activity},string,slugize,,
Count of Businesses,count_of_businesses,qb:measure,http://gss-data.org.uk/def/measure/count-of-businesses,,string,,,
Count of Employees,count_of_employees,qb:measure,http://gss-data.org.uk/def/measure/count-of-employees,,string,,,
Count,count,qb:measure,http://gss-data.org.uk/def/measure/count,,string,,,
Proportion of all Business,proportion_of_all_business,qb:measure,http://gss-data.org.uk/def/measure/proportion-of-all-business,,string,,,
HMRC Industry,hmrc_industry,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/hmrc-industry-groups/{hmrc_industry},string,,,
Total Turnover,total_turnover,qb:measure,http://gss-data.org.uk/def/measure/total-turnover,,string,,,
SITC 4,sitc4,qb:dimension,http://gss-data.org.uk/def/dimension/sitc-4,http://gss-data.org.uk/def/concept/sitc-4/{sitc4},string,,,
ONS ABS Trade,ons_abs_trades,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/ons-abs-trades/{ons_abs_trades},string,slugize,,
Investment Direction,investment_direction,qb:dimension,http://gss-data.org.uk/def/dimension/investment-direction,http://gss-data.org.uk/def/concept/investment-direction/{investment_direction},string,,,
ONS FDI Area,ons_fdi_area,qb:dimension,http://gss-data.org.uk/def/dimension/ons-fdi-area,http://gss-data.org.uk/def/concept/ons-fdi-area/{ons_fdi_area},string,,,
FDI Component,fdi_component,qb:dimension,http://gss-data.org.uk/def/dimension/fdi-component,http://gss-data.org.uk/def/concept/fdi-component/{fdi_component},string,,,
FDI Industry,fdi_industry,qb:dimension,http://gss-data.org.uk/def/dimension/fdi-industry,http://gss-data.org.uk/def/concept/fdi-industry/{fdi_industry},string,,,
ONS Functional Category,ons_func_category,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/ons-functional-category/{ons_func_category},string,,,
SIC 2007,sic2007,qb:dimension,http://gss-data.org.uk/def/dimension/sic-industry,http://business.data.gov.uk/companies/def/sic-2007/{sic2007},string,,,
Marker,marker,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#obsStatus,http://gss-data.org.uk/def/concept/marker/{marker},string,,,http://purl.org/linked-data/sdmx/2009/code#ObsStatus
GBP Million,gbp_million,qb:measure,http://gss-data.org.uk/def/measure/gbp-million,,string,,,
Suppressed,suppressed,qb:measure,http://gss-data.org.uk/def/measure/suppressed,,string,,,
GBP,gbp,qb:measure,http://gss-data.org.uk/def/measure/gbp,,string,,,
Product Department,product_department,qb:dimension,http://gss-data.org.uk/def/dimension/product-department,http://gss-data.org.uk/def/concept/product-department/{product_department},string,,,
Product Category,product_category,qb:dimension,http://gss-data.org.uk/def/dimension/product-category,http://gss-data.org.uk/def/concept/product-category/{product_category},string,,,
Product,product,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/product/{product},string,,,
Flow Directions,flow_directions,qb:dimension,http://gss-data.org.uk/def/dimension/flow-directions,http://gss-data.org.uk/def/concept/flow-directions/{flow_directions},string,,,
Trades,trades,qb:dimension,http://gss-data.org.uk/def/dimension/trades,http://gss-data.org.uk/def/concept/trades/{trades},string,,,
Account Type,account_type,qb:dimension,http://gss-data.org.uk/def/dimension/account-type,http://gss-data.org.uk/def/concept/account-type/{account_type},string,,,
Income,income,qb:dimension,http://gss-data.org.uk/def/dimension/income,http://gss-data.org.uk/def/concept/income/{income},string,,,
Income Description,income_description,qb:dimension,http://gss-data.org.uk/def/dimension/income-description,http://gss-data.org.uk/def/concept/income-description/{income_description},string,,,
Earnings,earnings,qb:dimension,http://gss-data.org.uk/def/dimension/earnings,http://gss-data.org.uk/def/concept/earnings/{earnings},string,,,
Sector,sector,qb:dimension,http://gss-data.org.uk/def/dimension/sector,http://gss-data.org.uk/def/concept/sector/{sector},string,,,
Transaction Type,transaction_type,qb:dimension,http://gss-data.org.uk/def/dimension/transaction-type,http://gss-data.org.uk/def/concept/transaction-type/{transaction_type},string,,,
Inventory,inventory,qb:dimension,http://gss-data.org.uk/def/dimension/inventory,http://gss-data.org.uk/def/concept/inventory/{inventory},string,slugize,,
Income Category,income_category,qb:dimension,http://gss-data.org.uk/def/dimension/income-category,http://gss-data.org.uk/def/concept/income-category/{income_category},string,slugize,,
Expenditure Category,expenditure_category,qb:dimension,http://gss-data.org.uk/def/dimension/expenditure-category,http://gss-data.org.uk/def/concept/expenditure-category/{expenditure_category},string,slugize,,
2016 Weights,2016_weights,qb:attribute,http://gss-data.org.uk/def/attribute/2016-weights,,number,,,
Industry,industry,qb:dimension,http://gss-data.org.uk/def/dimension/industry,http://gss-data.org.uk/def/concept/industry/{industry},string,slugize,,
Capital Formation,capital_formation,qb:dimension,http://gss-data.org.uk/def/dimension/capital-formation,http://gss-data.org.uk/def/concept/capital-formation/{capital_formation},string,slugize,,
Expenditure Type,expenditure_type,qb:dimension,http://gss-data.org.uk/def/dimension/expenditure-type,http://gss-data.org.uk/def/concept/expenditure-type/{expenditure_type},string,slugize,,
Household Expenditure,household_expenditure,qb:dimension,http://gss-data.org.uk/def/dimension/household-expenditure,http://gss-data.org.uk/def/concept/household-expenditure/{household_expenditure},string,slugize,,
Industrial Sector,industrial_sector,qb:dimension,http://gss-data.org.uk/def/dimension/industrial-sector,http://gss-data.org.uk/def/concept/industrial-sector/{industrial_sector},string,slugize,,
Income Indicator,income_indicator,qb:dimension,http://gss-data.org.uk/def/dimension/income-indicator,http://gss-data.org.uk/def/concept/income-indicator/{income_indicator},string,slugize,,
Estimate Type,estimate_type,qb:dimension,http://gss-data.org.uk/def/dimension/estimate-type,http://gss-data.org.uk/def/concept/estimate-type/{estimate_type},string,slugize,,
Trade Type,trade_type,qb:dimension,http://gss-data.org.uk/def/dimension/trade-type,http://gss-data.org.uk/def/concept/trade-type/{trade_type},string,slugize,,
Aggregate,aggregate,qb:dimension,http://gss-data.org.uk/def/dimension/aggregate,http://gss-data.org.uk/def/concept/aggregate/{aggregate},string,slugize,,
Expenditure,expenditure,qb:dimension,http://gss-data.org.uk/def/dimension/expenditure,http://gss-data.org.uk/def/concept/expenditure/{expenditure},string,slugize,,
Analysis,analysis,qb:dimension,http://gss-data.org.uk/def/dimension/analysis,http://gss-data.org.uk/def/concept/analysis/{analysis},string,slugize,,s
Index deflator series,index_deflator_series,qb:measure,http://gss-data.org.uk/def/measure/index-deflator-series,,,,,
Index,index,qb:measure,http://gss-data.org.uk/def/measure/index,,,,,
Quarter on quarter a year ago,quarter_on_quarter_a_year_ago,qb:measure,http://gss-data.org.uk/def/measure/quarter-on-quarter-a-year-ago,,,,,
Quarter on quarter,quarter_on_quarter,qb:measure,http://gss-data.org.uk/def/measure/quarter-on-quarter,,,,,
Year on year,year_on_year,qb:measure,http://gss-data.org.uk/def/measure/year-on-year,,,,,
Implied Deflator,implied_deflator,qb:measure,http://gss-data.org.uk/def/measure/implied-deflator,,,,,
Chained volume measure,chained_volume_measure,qb:measure,http://gss-data.org.uk/def/measure/chained-volume-measure,,,,,
Current Price,current_price,qb:measure,http://gss-data.org.uk/def/measure/current-price,,,,,
Average value per ton,average_value_per_ton,qb:measure,http://gss-data.org.uk/def/measure/average-value-per-ton,,,,,
Index series,index_series,qb:measure,http://gss-data.org.uk/def/measure/index-series,,,,,
Services,services,qb:dimension,http://gss-data.org.uk/def/dimension/services,http://gss-data.org.uk/def/concept/services/{services},string,slugize,,
Country Transaction,country_transaction,qb:dimension,http://gss-data.org.uk/def/dimension/country-transaction,http://gss-data.org.uk/def/concept/country-transaction/{country_transaction},string,slugize,,
Members,members,qb:dimension,http://gss-data.org.uk/def/dimension/members,http://gss-data.org.uk/def/concept/members/{members},string,slugize,,
Service Origin Geography,service_origin_geography,qb:dimension,http://gss-data.org.uk/def/dimension/service-origin-geography,http://gss-data.org.uk/def/concept/service-origin-geography/{service_origin_geography},string,,,
Service Destination Geography,service_destination_geography,qb:dimension,http://gss-data.org.uk/def/dimension/service-destination-geography,http://gss-data.org.uk/def/concept/service-destination-geography/{service_destination_geography},string,,,
GDP Reference Period,gdp_reference_period,qb:dimension,http://gss-data.org.uk/def/dimension/gdp-reference-period,http://reference.data.gov.uk/id/{+gdp_reference_period},string,,,
Publication Date,publication_date,qb:dimension,http://gss-data.org.uk/def/dimension/publication-date,http://reference.data.gov.uk/id/{+publication_date},string,,,
GDP Estimate Type,gdp_estimate_type,qb:dimension,http://gss-data.org.uk/def/dimension/gdp-estimate-type,http://gss-data.org.uk/def/concept/gdp-estimate-type/{gdp_estimate_type},string,,,
MRETS Product,mrets_product,qb:dimension,http://gss-data.org.uk/def/dimension/mrets-product,http://gss-data.org.uk/def/concept/mrets-product/{mrets_product},string,,,
Decimals,decimals,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#decimals,,number,,,
Pinkbook CDID,pinkbook_cdid,qb:dimension,http://gss-data.org.uk/def/dimension/pinkbook-cdid,http://gss-data.org.uk/def/concept/pinkbook-cdid/{pinkbook_cdid},string,slugize,,
Size of Business by no of Employees,size_of_business_by_no_of_employees,qb:dimension,http://gss-data.org.uk/def/dimension/size-of-business-by-no-of-employees,http://gss-data.org.uk/def/concept/employment-size-bands/{size_of_business_by_no_of_employees},string,slugize,,
HMRC Trade Statistic Type,hmrc_trade_statistic_type,qb:dimension,http://gss-data.org.uk/def/dimension/hmrc-trade-statistic-type,http://gss-data.org.uk/def/concept/hmrc-trade-statistic-type/{hmrc_trade_statistic_type},string,slugize,,
CORD Geography,cord_geography,qb:dimension,http://gss-data.org.uk/def/dimension/cord-geography,http://gss-data.org.uk/def/concept/cord-geography/{cord_geography},string,,,
Alcohol Duty,alcohol_duty,qb:dimension,http://gss-data.org.uk/def/dimension/alcohol-duty,http://gss-data.org.uk/def/concept/alcohol-duty/{alcohol_duty},string,slugize,,
Alcohol Category,alcohol_category,qb:dimension,http://gss-data.org.uk/def/dimension/alcohol-category,http://gss-data.org.uk/def/concept/alcohol-category/{alcohol_category},string,slugize,,
Alcohol Content,alcohol_content,qb:dimension,http://gss-data.org.uk/def/dimension/alcohol-content,http://gss-data.org.uk/def/concept/alcohol-content/{alcohol_content},string,slugize,,
Revision,revision,qb:dimension,http://gss-data.org.uk/def/dimension/revision,http://gss-data.org.uk/def/concept/revisions/{revision},string,slugize,,
GDP Measure,gdp_measure,qb:dimension,http://gss-data.org.uk/def/dimension/gdp-measure,http://gss-data.org.uk/def/concept/gdp-measure/{gdp_measure},string,slugize,,
Trade Services,trade_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/trade-services/{trade_services},string,,,
Revenue,revenue,qb:measure,http://gss-data.org.uk/def/measure/revenue,,string,,,
Quantities Released for Consumption,quantities_released_for_consumption,qb:measure,http://gss-data.org.uk/def/measure/quantities-released-for-consumption,,string,,,
Net Quantities of Spirits Charged with Duty,net_quantities_of_spirits_charged_with_duty,qb:measure,http://gss-data.org.uk/def/measure/net-quantities-of-spirits-charged-with-duty,,string,,,
Production of Potable Spirits,production_of_potable_spirits,qb:measure,http://gss-data.org.uk/def/measure/production-of-potable-spirits,,string,,,
UK Beer Production,uk_beer_production,qb:measure,http://gss-data.org.uk/def/measure/uk-beer-production,,string,,,
Beer Clearances,beer_clearances,qb:measure,http://gss-data.org.uk/def/measure/beer-clearances,,string,,,
Cider Clearances,cider_clearances,qb:measure,http://gss-data.org.uk/def/measure/cider-clearances,,string,,,
Rates of Duty,rates_of_duty,qb:measure,http://gss-data.org.uk/def/measure/rates-of-duty,,string,,,
Alcohol Clearances,alcohol_clearances,qb:measure,http://gss-data.org.uk/def/measure/alcohol-clearances,,string,,,
Trade Group,trade_group,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/trade-group/{trade_group},string,,,
Export Services,export_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/export-services/{export_services},string,,,
